movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older_gender
The Invention of Lying,2009,"Ricky Gervais, Matthew Robinson",11,1,Ricky Gervais,Jennifer Garner,man,woman,22457,1972-04-17T00:00:00Z,48,37,man older
The Light Between Oceans,2016,Derek Cianfrance,11,1,Michael Fassbender,Alicia Vikander,man,woman,28217,1988-10-03T00:00:00Z,39,28,man older
The Thomas Crown Affair,1968,Norman Jewison,11,1,Steve McQueen,Faye Dunaway,man,woman,11041,1941-01-14T00:00:00Z,38,27,man older
The Wolf of Wall Street,2013,Martin Scorsese,11,2,Leonardo DiCaprio,Cristin Milioti,man,woman,27344,1985-08-16T00:00:00Z,39,28,man older
Thunderball,1965,Terence Young,11,2,Sean Connery,Claudine Auger,man,woman,11195,1941-04-26T00:00:00Z,35,24,man older
Tomorrow Never Dies,1997,Roger Spottiswoode,11,3,Pierce Brosnan,Teri Hatcher,man,woman,19495,1964-12-08T00:00:00Z,44,33,man older
Trainwreck,2015,Judd Apatow,11,1,Mike Birbiglia,Brie Larson,man,woman,28661,1989-10-01T00:00:00Z,37,26,man older
While You Were Sleeping,1995,Jon Turteltaub,11,1,Bill Pullman,Sandra Bullock,man,woman,19710,1964-07-26T00:00:00Z,42,31,man older
Wimbledon,2004,Richard Loncraine,11,1,Paul Bettany,Kirsten Dunst,man,woman,26080,1982-04-30T00:00:00Z,33,22,man older
Win a Date with Tad Hamilton!,2004,Robert Luketic,11,1,Josh Duhamel,Kate Bosworth,man,woman,26617,1983-01-02T00:00:00Z,32,21,man older
Year One,2009,Harold Ramis,11,1,Jack Black,June Diane Raphael,man,woman,25443,1980-01-04T00:00:00Z,40,29,man older
You Only Live Twice,1967,Lewis Gilbert,11,2,Sean Connery,Akiko Wakabayashi,man,woman,11195,1941-08-26T00:00:00Z,37,26,man older
Zombieland: Double Tap,2019,Ruben Fleischer,11,2,Jesse Eisenberg,Zoey Deutch,man,woman,30594,1994-11-10T00:00:00Z,36,25,man older
27 Dresses,2008,Anne Fletcher,10,1,Edward Burns,Malin Akerman,man,woman,24866,1978-05-12T00:00:00Z,40,30,man older
Ant-Man,2015,Peyton Reed,10,1,Paul Rudd,Evangeline Lilly,man,woman,25299,1979-08-03T00:00:00Z,46,36,man older
Bedtime Stories,2008,Adam Shankman,10,1,Adam Sandler,Keri Russell,man,woman,24359,1976-03-23T00:00:00Z,42,32,man older
Big Daddy,1999,Dennis Dugan,10,1,Jon Stewart,Leslie Mann,man,woman,22978,1972-03-26T00:00:00Z,37,27,man older
Braveheart,1995,Mel Gibson,10,1,Mel Gibson,Sophie Marceau,man,woman,20457,1966-11-17T00:00:00Z,39,29,man older
Daddy's Home,2015,Sean Anders,10,1,Mark Wahlberg,Alessandra Ambrosio,man,woman,26089,1981-04-11T00:00:00Z,44,34,man older
Diamonds Are Forever,1971,Guy Hamilton,10,1,Sean Connery,Jill St. John,man,woman,11195,1940-08-19T00:00:00Z,41,31,man older
Django Unchained,2012,Quentin Tarantino,10,1,Jamie Foxx,Kerry Washington,man,woman,24819,1977-01-31T00:00:00Z,45,35,man older
EDtv,1999,Ron Howard,10,1,Woody Harrelson,Jenna Elfman,man,woman,22485,1971-09-30T00:00:00Z,38,28,man older
Ever After,1998,Andy Tennant,10,1,Dougray Scott,Drew Barrymore,man,woman,24072,1975-02-22T00:00:00Z,33,23,man older
Forrest Gump,1994,Robert Zemeckis,10,1,Tom Hanks,Robin Wright,man,woman,20645,1966-04-08T00:00:00Z,38,28,man older
Ghost,1990,Jerry Zucker,10,1,Patrick Swayze,Demi Moore,man,woman,19224,1962-11-11T00:00:00Z,38,28,man older
Ghost Rider,2007,Mark Steven Johnson,10,1,Nicolas Cage,Eva Mendes,man,woman,23383,1974-03-05T00:00:00Z,43,33,man older
Girl with a Pearl Earring,2003,Peter Webber,10,1,Colin Firth,Essie Davis,man,woman,22169,1970-11-30T00:00:00Z,43,33,man older
High School High,1996,Hart Bochner,10,1,Jon Lovitz,Tia Carrere,man,woman,21022,1967-01-02T00:00:00Z,39,29,man older
How to Lose a Guy in 10 Days,2003,Donald Petrie,10,1,Matthew McConaughey,Kate Hudson,man,woman,25511,1979-04-19T00:00:00Z,34,24,man older
Husbands and Wives,1992,Woody Allen,10,3,Woody Allen,Mia Farrow,man,woman,13119,1945-02-09T00:00:00Z,57,47,man older
Little Black Book,2004,Nick Hurran,10,1,Ron Livingston,Brittany Murphy,man,woman,24628,1977-11-10T00:00:00Z,37,27,man older
Made of Honor,2008,Paul Weiland,10,1,Patrick Dempsey,Michelle Monaghan,man,woman,24120,1976-03-23T00:00:00Z,42,32,man older
Man of Steel,2013,Zack Snyder,10,1,Kevin Costner,Diane Lane,man,woman,20107,1965-01-21T00:00:00Z,58,48,man older
Nightmare Alley,2021,Guillermo del Toro,10,1,Bradley Cooper,Rooney Mara,man,woman,27399,1985-04-17T00:00:00Z,46,36,man older
Pulp Fiction,1994,Quentin Tarantino,10,1,Bruce Willis,Maria de Medeiros,man,woman,20167,1965-08-19T00:00:00Z,39,29,man older
Rebecca,1940,Alfred Hitchcock,10,1,Laurence Olivier,Jane Fontaine,man,woman,2699,1917-10-22T00:00:00Z,33,23,man older
Return to Me,2000,Bonnie Hunt,10,1,David Duchovny,Minnie Driver,man,woman,22135,1970-01-31T00:00:00Z,40,30,man older
Smokey and the Bandit,1977,Hal Needham,10,1,Burt Reynolds,Sally Field,man,woman,13191,1946-11-06T00:00:00Z,41,31,man older
Snowden,2016,Oliver Stone,10,1,Joseph Gordon-Levitt,Shailene Woodley,man,woman,29634,1991-11-15T00:00:00Z,35,25,man older
Spanglish,2004,James L. Brooks,10,1,Adam Sandler,Paz Vega,man,woman,24359,1976-01-02T00:00:00Z,38,28,man older
Stranger Than Fiction,2006,Marc Forster,10,1,Will Ferrell,Maggie Gyllenhaal,man,woman,24669,1977-11-16T00:00:00Z,39,29,man older
Sweet Home Alabama,2002,Andy Tennant,10,1,Patrick Dempsey,Reese Witherspoon,man,woman,24120,1976-03-21T00:00:00Z,36,26,man older
Thank You for Smoking,2006,Jason Reitman,10,1,Aaron Eckhart,Katie Holmes,man,woman,24909,1978-12-18T00:00:00Z,38,28,man older
The Aviator,2004,Martin Scorsese,10,1,Leonardo DiCaprio,Kelli Garner,man,woman,27344,1984-04-11T00:00:00Z,30,20,man older
The Best Little Whorehouse in Texas,1982,Colin Higgins,10,1,Burt Reynolds,Dolly Parton,man,woman,13191,1946-01-19T00:00:00Z,46,36,man older
The Cable Guy,1996,Ben Stiller,10,1,Matthew Broderick,Leslie Mann,man,woman,22726,1972-03-26T00:00:00Z,34,24,man older
The Gift,2000,Sam Raimi,10,3,Keanu Reeves,Hilary Swank,man,woman,23622,1974-07-30T00:00:00Z,36,26,man older
The Mask,1994,Chuck Russell,10,1,Jim Carrey,Cameron Diaz,man,woman,22663,1972-08-30T00:00:00Z,32,22,man older
The Next Three Days,2010,Paul Haggis,10,1,Russell Crowe,Elizabeth Banks,man,woman,23474,1974-02-10T00:00:00Z,46,36,man older
The Nutty Professor,1996,Tom Shadyac,10,1,Eddie Murphy,Jada Pinkett,man,woman,22374,1971-09-18T00:00:00Z,35,25,man older
The Prestige,2006,Christopher Nolan,10,2,Christian Bale,Scarlett Johansson,man,woman,27059,1984-11-22T00:00:00Z,32,22,man older
The Time Traveler's Wife,2009,Robert Schwentke,10,1,Eric Bana,Rachel McAdams,man,woman,25059,1978-11-17T00:00:00Z,41,31,man older
Wedding Crashers,2005,David Dobkin,10,1,Owen Wilson,Rachel McAdams,man,woman,25160,1978-11-17T00:00:00Z,37,27,man older
What's Eating Gilbert Grape,1993,Lasse Hallström,10,1,Johnny Depp,Juliette Lewis,man,woman,23171,1973-06-21T00:00:00Z,30,20,man older
42,2013,Brian Helgeland,9,1,Chadwick Boseman,Nicole Beharie,man,woman,28093,1985-01-03T00:00:00Z,37,28,man older
50 First Dates,2004,Peter Segal,9,1,Adam Sandler,Drew Barrymore,man,woman,24359,1975-02-22T00:00:00Z,38,29,man older
A History of Violence,2005,David Cronenberg,9,1,Viggo Mortensen,Maria Bello,man,woman,21478,1967-04-18T00:00:00Z,47,38,man older
A Star Is Born,1937,William A. Wellman,9,3,Fredric March,Janet Gaynor,man,woman,1897-08-31,1906-10-06T00:00:00Z,40,31,man older
Accepted,2006,Steve Pink,9,1,Justin Long,Blake Lively,man,woman,28643,1987-08-25T00:00:00Z,28,19,man older
Amelie,2001,Jean-Pierre Jeunet,9,1,Mathieu Kassovitz,Audrey Tautou,man,woman,24687,1976-08-09T00:00:00Z,34,25,man older
Body of Lies,2008,Ridley Scott,9,1,Leonardo DiCaprio,Golshifteh Farahani,man,woman,27344,1983-07-10T00:00:00Z,34,25,man older
Boogie Nights,1997,Paul Thomas Anderson,9,2,William H. Macy,Nina Hartley,man,woman,18335,1959-03-11T00:00:00Z,47,38,man older
Bridget Jones's Baby,2016,Sharon Maguire,9,1,Colin Firth,Renee Zellweger,man,woman,22169,1969-04-25T00:00:00Z,56,47,man older
Bridget Jones's Diary,2001,Sharon Maguire,9,2,Hugh Grant,Renee Zellweger,man,woman,22168,1969-04-25T00:00:00Z,41,32,man older
Bridget Jones's Diary,2001,Sharon Maguire,9,1,Colin Firth,Renee Zellweger,man,woman,22169,1969-04-25T00:00:00Z,41,32,man older
Closer,2004,Mike Nichols,9,2,Jude Law,Natalie Portman,man,woman,26662,1981-06-09T00:00:00Z,32,23,man older
Crank,2006,"Mark Neveldine, Brian Taylor",9,1,Jason Statham,Amy Smart,man,woman,24679,1976-03-26T00:00:00Z,39,30,man older
Crazy Rich Asians,2018,Jon M. Chu,9,1,Pierre Png,Gemma Chan,man,woman,26966,1982-11-29T00:00:00Z,45,36,man older
Don't Mess with the Zohan,2008,Dennis Dugan,9,1,Adam Sandler,Emmanuelle Chriqui,man,woman,24359,1975-12-10T00:00:00Z,42,33,man older
He's Just Not That Into You,2009,Ken Kwapis,9,1,Bradley Cooper,Scarlett Johansson,man,woman,27399,1984-11-22T00:00:00Z,34,25,man older
Heartbreakers,2001,David Mirkin,9,1,Jason Lee,Jennifer Love Hewitt,man,woman,25683,1979-02-21T00:00:00Z,31,22,man older
Heat,1995,Michael Mann,9,3,Val Kilmer,Ashley Judd,man,woman,21915,1968-04-19T00:00:00Z,36,27,man older
Just Like Heaven,2005,Mark Waters,9,1,Mark Ruffalo,Reese Witherspoon,man,woman,24798,1976-03-21T00:00:00Z,38,29,man older
Last Night,2010,Massy Tadjedin,9,2,Sam Worthington,Keira Knightley,man,woman,27974,1985-03-26T00:00:00Z,34,25,man older
Love Stinks,1999,Jeff Franklin,9,1,French Stewart,Bridgette Wilson,man,woman,23427,1973-09-25T00:00:00Z,35,26,man older
Mona Lisa Smile,2003,Mike Newell,9,1,Jordan Bridges,Kirsten Dunst,man,woman,26981,1982-04-30T00:00:00Z,30,21,man older
My Best Friend's Wedding,1997,P.J. Hogan,9,1,Dermot Mulroney,Cameron Diaz,man,woman,23315,1972-08-30T00:00:00Z,34,25,man older
Pusher,1996,Nicolas Winding Refn,9,1,Kim Bodnia,Laura Drasbæk,man,woman,23844,1974-12-22T00:00:00Z,31,22,man older
Pushing Tin,1999,Mike Newell,9,3,John Cusack,Angelina Jolie,man,woman,24286,1975-06-04T00:00:00Z,33,24,man older
RED,2010,Robert Schwentke,9,1,Bruce Willis,Mary-Louise Parker,man,woman,20167,1964-08-02T00:00:00Z,55,46,man older
Raiders of the Lost Ark,1981,Steven Spielberg,9,1,Harrison Ford,Karen Allen,man,woman,15535,1951-10-05T00:00:00Z,39,30,man older
Seven,1995,David Fincher,9,1,Brad Pitt,Gwyneth Paltrow,man,woman,23363,1972-09-27T00:00:00Z,32,23,man older
Something's Gotta Give,2003,Nancy Meyers,9,3,Jack Nicholson,Diane Keaton,man,woman,13627,1946-01-05T00:00:00Z,66,57,man older
Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,9,1,John C. Reilly,Leslie Bibb,man,woman,23886,1974-11-17T00:00:00Z,41,32,man older
The Count of Monte Cristo,2002,Kevin Reynolds,9,1,Guy Pearce,Dagmara Dominczyk,man,woman,24750,1976-07-17T00:00:00Z,35,26,man older
The Fabulous Baker Boys,1989,Steve Kloves,9,1,Jeff Bridges,Michelle Pfeiffer,man,woman,18236,1958-04-29T00:00:00Z,40,31,man older
The Girl on the Train,2016,Tate Taylor,9,4,Luke Evans,Haley Bennett,man,woman,28960,1988-01-07T00:00:00Z,37,28,man older
The Great Gatsby,1974,Jack Clayton,9,2,Robert Redford,Mia Farrow,man,woman,13380,1945-02-09T00:00:00Z,38,29,man older
The Greatest Showman,2017,Michael Gracey,9,2,Zac Efron,Zendaya,man,woman,32068,1996-09-01T00:00:00Z,30,21,man older
The Happening,2008,M. Night Shyamalan,9,1,Mark Wahlberg,Zooey Deschanel,man,woman,26089,1980-01-17T00:00:00Z,37,28,man older
The Mask of Zorro,1998,Martin Campbell,9,1,Antonio Banderas,Catherine Zeta-Jones,man,woman,22138,1969-09-25T00:00:00Z,38,29,man older
The Wedding Singer,1998,Frank Coraci,9,1,Adam Sandler,Drew Barrymore,man,woman,24359,1975-02-22T00:00:00Z,32,23,man older
Tomorrow Never Dies,1997,Roger Spottiswoode,9,4,Pierce Brosnan,Michelle Yeoh,man,woman,19495,1962-08-06T00:00:00Z,44,35,man older
Walk Hard,2007,Jake Kasdan,9,1,John C. Reilly,Jenna Fischer,man,woman,23886,1974-03-07T00:00:00Z,42,33,man older
Wild Things,1998,John McNaughton,9,1,Matt Dillon,Neve Campbell,man,woman,23425,1973-10-03T00:00:00Z,34,25,man older
X-Men Origins: Wolverine,2009,Gavin Hood,9,1,Hugh Jackman,Lynn Collins,man,woman,25123,1977-05-16T00:00:00Z,41,32,man older
A Happening of Monumental Proportions,2017,Judy Greer,8,1,Keanu Reeves,Jennifer Garner,man,woman,23622,1972-04-17T00:00:00Z,53,45,man older
Alex & Emma,2003,Rob Reiner,8,1,Luke Wilson,Kate Hudson,man,woman,26197,1979-04-19T00:00:00Z,32,24,man older
Always Be My Maybe,2019,Nahnatchka Khan,8,3,Randall Park,Ali Wong,man,woman,27111,1982-04-19T00:00:00Z,45,37,man older
American Hustle,2013,David O. Russell,8,2,Jack Huston,Jennifer Lawrence,man,woman,30292,1990-08-15T00:00:00Z,31,23,man older
Batman Forever,1995,Joel Schumacher,8,1,Val Kilmer,Nicole Kidman,man,woman,21915,1967-06-20T00:00:00Z,36,28,man older
Chloe,2009,Atom Egoyan,8,2,Liam Neeson,Julianne Moore,man,woman,19152,1960-12-03T00:00:00Z,57,49,man older
"Crazy, Stupid, Love",2011,"Glenn Ficarra, John Requa",8,1,Ryan Gosling,Emma Stone,man,woman,29537,1988-11-06T00:00:00Z,31,23,man older
Crimson Peak,2015,Guillermo del Toro,8,1,Tom Hiddleston,Mia Wasikowska,man,woman,29626,1989-10-14T00:00:00Z,34,26,man older
Daddy's Home,2015,Sean Anders,8,2,Will Ferrell,Linda Cardellini,man,woman,24669,1975-06-25T00:00:00Z,48,40,man older
Deepwater Horizon,2016,Peter Berg,8,1,Mark Wahlberg,Kate Hudson,man,woman,26089,1979-04-19T00:00:00Z,45,37,man older
Dirty Dancing,1987,Emile Ardolino,8,1,Patrick Swayze,Jennifer Grey,man,woman,19224,1960-03-26T00:00:00Z,35,27,man older
Edward Scissorhands,1990,Tim Burton,8,1,Johnny Depp,Winona Ryder,man,woman,23171,1971-10-29T00:00:00Z,27,19,man older
Enchanted,2007,Kevin Lima,8,1,Patrick Dempsey,Amy Adams,man,woman,24120,1974-08-20T00:00:00Z,41,33,man older
Fantastic Beasts and Where to Find Them,2016,David Yates,8,1,Dan Fogler,Alison Sudol,man,woman,28053,1984-12-23T00:00:00Z,40,32,man older
Feeling Minnesota,1996,Steven Baigelman,8,2,Keanu Reeves,Cameron Diaz,man,woman,23622,1972-08-30T00:00:00Z,32,24,man older
From Here to Eternity,1953,Fred Zinnemann,8,1,Burt Lancaster,Deborah Kerr,man,woman,5055,1921-09-30T00:00:00Z,40,32,man older
Girl with a Pearl Earring,2003,Peter Webber,8,2,Cillian Murphy,Scarlett Johansson,man,woman,27905,1984-11-22T00:00:00Z,27,19,man older
Groundhog Day,1993,Harold Ramis,8,1,Bill Murray,Andie MacDowell,man,woman,18527,1958-04-21T00:00:00Z,43,35,man older
"I, Tonya",2017,Craig Gillespie,8,1,Sebastian Stan,Margot Robbie,man,woman,30176,1990-07-02T00:00:00Z,35,27,man older
Killing Zoe,1994,Roger Avary,8,1,Eric Stoltz,Julie Delpy,man,woman,22554,1969-12-21T00:00:00Z,33,25,man older
Leatherheads,2008,George Clooney,8,1,George Clooney,Renee Zellweger,man,woman,22407,1969-04-25T00:00:00Z,47,39,man older
Love Actually,2003,Richard Curtis,8,6,Chiwetel Ejiofor,Keira Knightley,man,woman,28316,1985-03-26T00:00:00Z,26,18,man older
Love Stinks,1999,Jeff Franklin,8,2,Bill Bellamy,Tyra Banks,man,woman,23839,1973-12-04T00:00:00Z,34,26,man older
Magic Mike,2012,Steven Soderbergh,8,1,Channing Tatum,Cody Horn,man,woman,29337,1988-06-12T00:00:00Z,32,24,man older
Manhattan,1979,Woody Allen,8,2,Michael Murphy,Diane Keaton,man,woman,14005,1946-01-05T00:00:00Z,41,33,man older
Meet Joe Black,1998,Martin Brest,8,1,Brad Pitt,Claire Forlani,man,woman,23363,1971-12-17T00:00:00Z,35,27,man older
Mo' Better Blues,1990,Spike Lee,8,1,Denzel Washington,Joie Lee,man,woman,20086,1962-06-22T00:00:00Z,36,28,man older
National Lampoon's Vacation,1983,Harold Ramis,8,1,Chevy Chase,Beverly D'Angelo,man,woman,15987,1951-11-15T00:00:00Z,40,32,man older
Out of Sight,1998,Steven Soderbergh,8,1,George Clooney,Jennifer Lopez,man,woman,22407,1969-07-24T00:00:00Z,37,29,man older
P.S. I Love You,2007,Richard LaGravenese,8,1,Jeffrey Dean Morgan,Hilary Swank,man,woman,24219,1974-07-30T00:00:00Z,41,33,man older
Pirates of the Caribbean,2003,Gore Verbinski,8,1,Orlando Bloom,Keira Knightley,man,woman,28138,1985-03-26T00:00:00Z,26,18,man older
Professor Marston and the Wonder Women,2017,Angela Robinson,8,1,Luke Evans,Bella Heathcote,man,woman,28960,1987-05-27T00:00:00Z,38,30,man older
Proof of Life,2000,Taylor Hackford,8,1,David Morse,Meg Ryan,man,woman,19643,1961-11-19T00:00:00Z,47,39,man older
Red Planet,2000,Antony Hoffman,8,1,Val Kilmer,Carrie-Anne Moss,man,woman,21915,1967-08-21T00:00:00Z,41,33,man older
Snow Dogs,2002,Brian Levant,8,1,Cuba Gooding Jr.,Joanna Bacalso,man,woman,24839,1976-08-10T00:00:00Z,34,26,man older
Solaris,2002,Steven Soderbergh,8,1,George Clooney,Natascha McElhone,man,woman,22407,1969-12-14T00:00:00Z,41,33,man older
That Thing You Do!,1996,Tom Hanks,8,1,Johnathon Schaech,Liv Tyler,man,woman,25456,1977-07-01T00:00:00Z,27,19,man older
The African Queen,1951,John Huston,8,1,Humphrey Bogart,Katharine Hepburn,man,woman,1899-12-25,1907-05-12T00:00:00Z,52,44,man older
The Bodyguard,1992,Mick Jackson,8,1,Kevin Costner,Whitney Houston,man,woman,20107,1963-08-09T00:00:00Z,37,29,man older
The Constant Gardener,2005,Fernando Meirelles,8,1,Ralph Fiennes,Rachel Weisz,man,woman,23002,1970-03-07T00:00:00Z,43,35,man older
The Count of Monte Cristo,2002,Kevin Reynolds,8,2,Jim Caviezel,Dagmara Dominczyk,man,woman,25107,1976-07-17T00:00:00Z,34,26,man older
The Dark Knight Rises,2012,Christopher Nolan,8,1,Christian Bale,Anne Hathaway,man,woman,27059,1982-11-12T00:00:00Z,38,30,man older
The Incredible Hulk,2008,Louis Leterrier,8,1,Edward Norton,Liv Tyler,man,woman,25433,1977-07-01T00:00:00Z,39,31,man older
The Invention of Lying,2009,"Ricky Gervais, Matthew Robinson",8,2,Rob Lowe,Jennifer Garner,man,woman,23453,1972-04-17T00:00:00Z,45,37,man older
The Judge,2014,David Dobkin,8,1,Robert Downey Jr.,Vera Farmiga,man,woman,23836,1973-08-06T00:00:00Z,49,41,man older
The Prestige,2006,Christopher Nolan,8,3,Christian Bale,Rebecca Hall,man,woman,27059,1982-05-03T00:00:00Z,32,24,man older
The Secret Life of Walter Mitty,2013,Ben Stiller,8,1,Ben Stiller,Kristen Wiig,man,woman,24076,1973-08-22T00:00:00Z,48,40,man older
The Water Boy,1998,Frank Coraci,8,1,Adam Sandler,Fairuza Balk,man,woman,24359,1974-05-21T00:00:00Z,32,24,man older
The World Is Not Enough,1999,Michael Apted,8,3,Pierce Brosnan,Serena Scott Thomas,man,woman,19495,1961-09-21T00:00:00Z,46,38,man older
Third Person,2013,Paul Haggis,8,2,Adrien Brody,Moran Atias,man,woman,26768,1981-04-09T00:00:00Z,40,32,man older
Top Gun: Maverick,2022,Joseph Kosinski,8,1,Tom Cruise,Jennifer Connelly,man,woman,22830,1970-12-12T00:00:00Z,60,52,man older
You Only Live Twice,1967,Lewis Gilbert,8,3,Sean Connery,Karin Dor,man,woman,11195,1938-02-22T00:00:00Z,37,29,man older
A Walk on the Moon,1999,Tony Goldwyn,7,1,Viggo Mortensen,Diane Lane,man,woman,21478,1965-01-21T00:00:00Z,41,34,man older
Aquaman,2018,James Wan,7,1,Temuera Morrison,Nicole Kidman,man,woman,22276,1967-06-20T00:00:00Z,58,51,man older
Aquaman,2018,James Wan,7,2,Jason Momoa,Amber Heard,man,woman,29068,1986-04-22T00:00:00Z,39,32,man older
Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,7,1,Mike Myers,Heather Graham,man,woman,23126,1970-01-29T00:00:00Z,36,29,man older
Barbershop,2002,Tim Story,7,1,Ice Cube,Jazsmin Lewis,man,woman,25369,1976-03-22T00:00:00Z,33,26,man older
Billy Madison,1995,Tamra Davis,7,1,Adam Sandler,Bridgette Wilson,man,woman,24359,1973-09-25T00:00:00Z,29,22,man older
Black Panther,2018,Ryan Coogler,7,2,Chadwick Boseman,Lupita Nyong'o,man,woman,28093,1983-03-01T00:00:00Z,42,35,man older
Bruce Almighty,2003,Tom Shadyac,7,1,Jim Carrey,Jennifer Aniston,man,woman,22663,1969-02-11T00:00:00Z,41,34,man older
Café Society,2016,Woody Allen,7,2,Jesse Eisenberg,Kristen Stewart,man,woman,30594,1990-04-09T00:00:00Z,33,26,man older
Captain Blood,1935,Michael Curtiz,7,1,Errol Flynn,Olivia de Havilland,man,woman,3459,1916-07-01T00:00:00Z,26,19,man older
Cast Away,2000,Robert Zemeckis,7,1,Tom Hanks,Helen Hunt,man,woman,20645,1963-06-15T00:00:00Z,44,37,man older
Cat on a Hot Tin Roof,1958,Richard Brooks,7,1,Paul Newman,Elizabeth Taylor,man,woman,9158,1932-02-27T00:00:00Z,33,26,man older
Click,2006,Frank Coraci,7,1,Adam Sandler,Kate Beckinsale,man,woman,24359,1973-07-26T00:00:00Z,40,33,man older
Clueless,1995,Amy Heckerling,7,1,Paul Rudd,Alicia Silverstone,man,woman,25299,1976-10-04T00:00:00Z,26,19,man older
Con Air,1997,Simon West,7,1,Nicolas Cage,Monica Potter,man,woman,23383,1971-06-30T00:00:00Z,33,26,man older
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,7,1,Chow Yun-fat,Michelle Yeoh,man,woman,20227,1962-08-06T00:00:00Z,45,38,man older
Delicatessen,1991,Jean-Pierre Jeunet,7,1,Dominique Pinon,Marie-Laure Dougnac,man,woman,20152,1962-02-01T00:00:00Z,36,29,man older
Destination Wedding,2018,Victor Levin,7,1,Keanu Reeves,Winona Ryder,man,woman,23622,1971-10-29T00:00:00Z,54,47,man older
Divergent,2014,Neil Burger,7,1,Theo James,Shailene Woodley,man,woman,31032,1991-11-15T00:00:00Z,30,23,man older
Ex Machina,2014,Alex Garland,7,1,Oscar Isaac,Sonoya Mizuno,man,woman,28923,1986-07-01T00:00:00Z,35,28,man older
Fifty Shades Darker,2017,James Foley,7,1,Jamie Dornan,Dakota Johnson,man,woman,30072,1989-10-04T00:00:00Z,35,28,man older
Fifty Shades of Grey,2015,Sam Taylor-Johnson,7,1,Jamie Dornan,Dakota Johnson,man,woman,30072,1989-10-04T00:00:00Z,33,26,man older
For Love of the Game,1999,Sam Raimi,7,1,Kevin Costner,Kelly Preston,man,woman,20107,1962-10-13T00:00:00Z,44,37,man older
Forget Paris,1995,Billy Crystal,7,1,Billy Crystal,Debra Winger,man,woman,17606,1955-05-16T00:00:00Z,47,40,man older
Goldfinger,1964,Guy Hamilton,7,1,Sean Connery,Shirley Eaton,man,woman,11195,1937-01-12T00:00:00Z,34,27,man older
Gone Girl,2014,David Fincher,7,2,Ben Affleck,Rosamund Pike,man,woman,26526,1979-01-27T00:00:00Z,42,35,man older
Guess Who's Coming to Dinner,1967,John Huston,7,2,Spencer Tracy,Katharine Hepburn,man,woman,96,1907-05-12T00:00:00Z,67,60,man older
Home Again,2017,Hallie Meyers-Shyer,7,2,Michael Sheen,Reese Witherspoon,man,woman,25239,1976-03-21T00:00:00Z,48,41,man older
Honey,2003,Bille Woodruff,7,1,Mekhi Phifer,Jessica Alba,man,woman,27392,1981-04-28T00:00:00Z,29,22,man older
"I Love You, Man",2009,John Hamburg,7,1,Paul Rudd,Rashida Jones,man,woman,25299,1976-02-25T00:00:00Z,40,33,man older
Il Bidone,1954,Federico Fellini,7,1,Richard Basehart,Giulietta Masina,man,woman,5357,1921-02-22T00:00:00Z,40,33,man older
In the Heights,2021,John M. Chu,7,2,Corey Hawkins,Leslie Grace,man,woman,32438,1995-01-07T00:00:00Z,33,26,man older
Iron Man,2008,Jon Favreau,7,1,Robert Downey Jr.,Gwyneth Paltrow,man,woman,23836,1972-09-27T00:00:00Z,43,36,man older
Jerry Maguire,2006,Cameron Crowe,7,1,Tom Cruise,Renee Zellweger,man,woman,22830,1969-04-25T00:00:00Z,44,37,man older
John Wick,2014,Chad Stahelski,7,1,Keanu Reeves,Bridget Moynahan,man,woman,23622,1971-04-28T00:00:00Z,50,43,man older
Keeping Up with the Joneses,2016,Greg Mottola,7,2,Zach Galifianakis,Isla Fisher,man,woman,25477,1976-02-03T00:00:00Z,47,40,man older
Laws of Attraction,2004,Peter Howitt,7,1,Pierce Brosnan,Julianne Moore,man,woman,19495,1960-12-03T00:00:00Z,51,44,man older
Lord of War,2005,Andrew Niccol,7,1,Nicolas Cage,Bridget Moynahan,man,woman,23383,1971-04-28T00:00:00Z,41,34,man older
Love Actually,2003,Richard Curtis,7,7,Martin Freeman,Joanna Page,man,woman,26184,1978-03-23T00:00:00Z,32,25,man older
Lucky You,2007,Curtis Hanson,7,1,Eric Bana,Drew Barrymore,man,woman,25059,1975-02-22T00:00:00Z,39,32,man older
Maid in Manhattan,2002,Wayne Wang,7,1,Ralph Fiennes,Jennifer Lopez,man,woman,23002,1969-07-24T00:00:00Z,40,33,man older
Mamma Mia!,2008,Phyllida Lloyd,7,1,Dominic Cooper,Amanda Seyfried,man,woman,28643,1985-12-03T00:00:00Z,30,23,man older
"Me, Myself & Irene",2000,"Bobby Farrelly, Peter Farrelly",7,1,Jim Carrey,Renee Zellweger,man,woman,22663,1969-04-25T00:00:00Z,38,31,man older
Never Been Kissed,1999,Raja Gosnell,7,1,Michael Vartan,Drew Barrymore,man,woman,25169,1975-02-22T00:00:00Z,31,24,man older
Notting Hill,1999,Roger Michell,7,1,Hugh Grant,Julia Roberts,man,woman,22168,1967-10-28T00:00:00Z,39,32,man older
